,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
48,"{'f': 0.05405404934989084, 'p': 0.043478260869565216, 'r': 0.07142857142857142}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.05405404934989084, 'p': 0.043478260869565216, 'r': 0.07142857142857142}",id_cnn_21808,0.05405404934989084,0.043478260869565216,0.07142857142857142,0.0,0.0,0.0,0.05405404934989084,0.043478260869565216,0.07142857142857142,-,-,-
49,"{'f': 0.4285714239795918, 'p': 0.3333333333333333, 'r': 0.6}","{'f': 0.30769230316568047, 'p': 0.23529411764705882, 'r': 0.4444444444444444}","{'f': 0.4444444397805213, 'p': 0.35294117647058826, 'r': 0.6}",id_cnn_39064,0.4285714239795918,0.3333333333333333,0.6,0.30769230316568047,0.23529411764705882,0.4444444444444444,0.4444444397805213,0.35294117647058826,0.6,-,-,-
50,"{'f': 0.14285713795918387, 'p': 0.125, 'r': 0.16666666666666666}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.1714285664326532, 'p': 0.17647058823529413, 'r': 0.16666666666666666}",id_dm_113575,0.14285713795918387,0.125,0.16666666666666666,0.0,0.0,0.0,0.1714285664326532,0.17647058823529413,0.16666666666666666,-,-,-
51,"{'f': 0.16666666222222234, 'p': 0.125, 'r': 0.25}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.13333332868888906, 'p': 0.10526315789473684, 'r': 0.18181818181818182}",id_cnn_48055,0.16666666222222234,0.125,0.25,0.0,0.0,0.0,0.13333332868888906,0.10526315789473684,0.18181818181818182,-,-,-
52,"{'f': 0.24242423753902673, 'p': 0.21052631578947367, 'r': 0.2857142857142857}","{'f': 0.06451612416233128, 'p': 0.05555555555555555, 'r': 0.07692307692307693}","{'f': 0.12121211632690562, 'p': 0.10526315789473684, 'r': 0.14285714285714285}",id_dm_8897,0.24242423753902673,0.21052631578947367,0.2857142857142857,0.06451612416233128,0.05555555555555555,0.07692307692307693,0.12121211632690562,0.10526315789473684,0.14285714285714285,-,-,-
53,"{'f': 0.30303029825528016, 'p': 0.25, 'r': 0.38461538461538464}","{'f': 0.12903225331945908, 'p': 0.10526315789473684, 'r': 0.16666666666666666}","{'f': 0.2499999951757813, 'p': 0.21052631578947367, 'r': 0.3076923076923077}",id_dm_55828,0.30303029825528016,0.25,0.38461538461538464,0.12903225331945908,0.10526315789473684,0.16666666666666666,0.2499999951757813,0.21052631578947367,0.3076923076923077,-,-,-
54,"{'f': 0.24242423764921955, 'p': 0.2, 'r': 0.3076923076923077}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.275862064019025, 'p': 0.25, 'r': 0.3076923076923077}",id_dm_35500,0.24242423764921955,0.2,0.3076923076923077,0.0,0.0,0.0,0.275862064019025,0.25,0.3076923076923077,-,-,-
55,"{'f': 0.41379309859690844, 'p': 0.35294117647058826, 'r': 0.5}","{'f': 0.22222221739369008, 'p': 0.1875, 'r': 0.2727272727272727}","{'f': 0.4999999950000001, 'p': 0.5, 'r': 0.5}",id_dm_43431,0.41379309859690844,0.35294117647058826,0.5,0.22222221739369008,0.1875,0.2727272727272727,0.4999999950000001,0.5,0.5,-,-,-
56,"{'f': 0.14814814430727036, 'p': 0.1, 'r': 0.2857142857142857}","{'f': 0.07999999635200017, 'p': 0.05263157894736842, 'r': 0.16666666666666666}","{'f': 0.1538461499112427, 'p': 0.10526315789473684, 'r': 0.2857142857142857}",id_cnn_20805,0.14814814430727036,0.1,0.2857142857142857,0.07999999635200017,0.05263157894736842,0.16666666666666666,0.1538461499112427,0.10526315789473684,0.2857142857142857,-,-,-
57,"{'f': 0.1714285664326532, 'p': 0.16666666666666666, 'r': 0.17647058823529413}","{'f': 0.06060605561065239, 'p': 0.058823529411764705, 'r': 0.0625}","{'f': 0.17647058323529427, 'p': 0.17647058823529413, 'r': 0.17647058823529413}",id_dm_75163,0.1714285664326532,0.16666666666666666,0.17647058823529413,0.06060605561065239,0.058823529411764705,0.0625,0.17647058323529427,0.17647058823529413,0.17647058823529413,-,-,-
