,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
25,"{'f': 0.18181817785123974, 'p': 0.125, 'r': 0.3333333333333333}","{'f': 0.06451612520291386, 'p': 0.043478260869565216, 'r': 0.125}","{'f': 0.19999999580000008, 'p': 0.14285714285714285, 'r': 0.3333333333333333}",id_dm_61340,0.18181817785123974,0.125,0.3333333333333333,0.06451612520291386,0.043478260869565216,0.125,0.19999999580000008,0.14285714285714285,0.3333333333333333,-,-,-
26,"{'f': 0.2142857093877552, 'p': 0.1875, 'r': 0.25}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.14814814331961607, 'p': 0.125, 'r': 0.18181818181818182}",id_cnn_84529,0.2142857093877552,0.1875,0.25,0.0,0.0,0.0,0.14814814331961607,0.125,0.18181818181818182,-,-,-
27,"{'f': 0.07407406924554216, 'p': 0.0625, 'r': 0.09090909090909091}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07407406924554216, 'p': 0.0625, 'r': 0.09090909090909091}",id_dm_111060,0.07407406924554216,0.0625,0.09090909090909091,0.0,0.0,0.0,0.07407406924554216,0.0625,0.09090909090909091,-,-,-
28,"{'f': 0.3846153800887574, 'p': 0.29411764705882354, 'r': 0.5555555555555556}","{'f': 0.08333332888888913, 'p': 0.0625, 'r': 0.125}","{'f': 0.15384614931952675, 'p': 0.11764705882352941, 'r': 0.2222222222222222}",id_dm_172693,0.3846153800887574,0.29411764705882354,0.5555555555555556,0.08333332888888913,0.0625,0.125,0.15384614931952675,0.11764705882352941,0.2222222222222222,-,-,-
29,"{'f': 0.4615384565680473, 'p': 0.42857142857142855, 'r': 0.5}","{'f': 0.24999999503472223, 'p': 0.23076923076923078, 'r': 0.2727272727272727}","{'f': 0.4166666616666667, 'p': 0.4166666666666667, 'r': 0.4166666666666667}",id_dm_173398,0.4615384565680473,0.42857142857142855,0.5,0.24999999503472223,0.23076923076923078,0.2727272727272727,0.4166666616666667,0.4166666666666667,0.4166666666666667,-,-,-
30,"{'f': 0.26315788986149585, 'p': 0.3125, 'r': 0.22727272727272727}","{'f': 0.1666666618055557, 'p': 0.2, 'r': 0.14285714285714285}","{'f': 0.2777777728395062, 'p': 0.3125, 'r': 0.25}",id_dm_18066,0.26315788986149585,0.3125,0.22727272727272727,0.1666666618055557,0.2,0.14285714285714285,0.2777777728395062,0.3125,0.25,-,-,-
31,"{'f': 0.19999999555555567, 'p': 0.15, 'r': 0.3}","{'f': 0.0714285670663268, 'p': 0.05263157894736842, 'r': 0.1111111111111111}","{'f': 0.13333332888888905, 'p': 0.1, 'r': 0.2}",id_dm_186132,0.19999999555555567,0.15,0.3,0.0714285670663268,0.05263157894736842,0.1111111111111111,0.13333332888888905,0.1,0.2,-,-,-
32,"{'f': 0.13793102977407862, 'p': 0.1111111111111111, 'r': 0.18181818181818182}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.14285713826530627, 'p': 0.1111111111111111, 'r': 0.2}",id_cnn_87065,0.13793102977407862,0.1111111111111111,0.18181818181818182,0.0,0.0,0.0,0.14285713826530627,0.1111111111111111,0.2,-,-,-
33,"{'f': 0.06666666202222254, 'p': 0.05263157894736842, 'r': 0.09090909090909091}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.071428566836735, 'p': 0.05555555555555555, 'r': 0.1}",id_cnn_4152,0.06666666202222254,0.05263157894736842,0.09090909090909091,0.0,0.0,0.0,0.071428566836735,0.05555555555555555,0.1,-,-,-
34,"{'f': 0.4285714236734694, 'p': 0.375, 'r': 0.5}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.47999999500800006, 'p': 0.46153846153846156, 'r': 0.5}",id_cnn_23748,0.4285714236734694,0.375,0.5,0.0,0.0,0.0,0.47999999500800006,0.46153846153846156,0.5,-,-,-
