,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
3495,"{'f': 0.19999999535555565, 'p': 0.15789473684210525, 'r': 0.2727272727272727}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.13793102977407862, 'p': 0.1111111111111111, 'r': 0.18181818181818182}",id_dm_179136,0.19999999535555565,0.15789473684210525,0.2727272727272727,0.0,0.0,0.0,0.13793102977407862,0.1111111111111111,0.18181818181818182,-,-,-
3496,"{'f': 0.17142856760816338, 'p': 0.11538461538461539, 'r': 0.3333333333333333}","{'f': 0.12121211753902673, 'p': 0.08, 'r': 0.25}","{'f': 0.19354838297606666, 'p': 0.13636363636363635, 'r': 0.3333333333333333}",id_cnn_53729,0.17142856760816338,0.11538461538461539,0.3333333333333333,0.12121211753902673,0.08,0.25,0.19354838297606666,0.13636363636363635,0.3333333333333333,-,-,-
3497,"{'f': 0.48648648157779395, 'p': 0.42857142857142855, 'r': 0.5625}","{'f': 0.3428571379591837, 'p': 0.3, 'r': 0.4}","{'f': 0.5142857093877552, 'p': 0.45, 'r': 0.6}",id_dm_93811,0.48648648157779395,0.42857142857142855,0.5625,0.3428571379591837,0.3,0.4,0.5142857093877552,0.45,0.6,-,-,-
3498,"{'f': 0.12499999570312517, 'p': 0.09090909090909091, 'r': 0.2}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.13333332888888905, 'p': 0.1, 'r': 0.2}",id_cnn_948,0.12499999570312517,0.09090909090909091,0.2,0.0,0.0,0.0,0.13333332888888905,0.1,0.2,-,-,-
3499,"{'f': 0.06666666222222252, 'p': 0.05, 'r': 0.1}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.071428566836735, 'p': 0.05555555555555555, 'r': 0.1}",id_dm_112969,0.06666666222222252,0.05,0.1,0.0,0.0,0.0,0.071428566836735,0.05555555555555555,0.1,-,-,-
3500,"{'f': 0.2631578899584488, 'p': 0.21739130434782608, 'r': 0.3333333333333333}","{'f': 0.11111110635802489, 'p': 0.09090909090909091, 'r': 0.14285714285714285}","{'f': 0.24242423753902673, 'p': 0.21052631578947367, 'r': 0.2857142857142857}",id_cnn_23729,0.2631578899584488,0.21739130434782608,0.3333333333333333,0.11111110635802489,0.09090909090909091,0.14285714285714285,0.24242423753902673,0.21052631578947367,0.2857142857142857,-,-,-
3501,"{'f': 0.7096774144849116, 'p': 0.6111111111111112, 'r': 0.8461538461538461}","{'f': 0.41379309859690844, 'p': 0.35294117647058826, 'r': 0.5}","{'f': 0.7333333284222223, 'p': 0.6470588235294118, 'r': 0.8461538461538461}",id_dm_164683,0.7096774144849116,0.6111111111111112,0.8461538461538461,0.41379309859690844,0.35294117647058826,0.5,0.7333333284222223,0.6470588235294118,0.8461538461538461,-,-,-
3502,"{'f': 0.11764705425605555, 'p': 0.09090909090909091, 'r': 0.16666666666666666}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.1333333285333335, 'p': 0.1111111111111111, 'r': 0.16666666666666666}",id_dm_153408,0.11764705425605555,0.09090909090909091,0.16666666666666666,0.0,0.0,0.0,0.1333333285333335,0.1111111111111111,0.16666666666666666,-,-,-
3503,"{'f': 0.05714285283265339, 'p': 0.041666666666666664, 'r': 0.09090909090909091}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.06060605638200213, 'p': 0.043478260869565216, 'r': 0.1}",id_cnn_66062,0.05714285283265339,0.041666666666666664,0.09090909090909091,0.0,0.0,0.0,0.06060605638200213,0.043478260869565216,0.1,-,-,-
3504,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_cnn_66191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
