,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
6411,"{'f': 0.20689654687277062, 'p': 0.25, 'r': 0.17647058823529413}","{'f': 0.07407406924554216, 'p': 0.09090909090909091, 'r': 0.0625}","{'f': 0.22222221755829916, 'p': 0.3, 'r': 0.17647058823529413}",id_cnn_13305,0.20689654687277062,0.25,0.17647058823529413,0.07407406924554216,0.09090909090909091,0.0625,0.22222221755829916,0.3,0.17647058823529413,-,-,-
6412,"{'f': 0.1666666618055557, 'p': 0.2, 'r': 0.14285714285714285}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.12121211643709846, 'p': 0.15384615384615385, 'r': 0.1}",id_dm_60466,0.1666666618055557,0.2,0.14285714285714285,0.0,0.0,0.0,0.12121211643709846,0.15384615384615385,0.1,-,-,-
6413,"{'f': 0.173913038941399, 'p': 0.25, 'r': 0.13333333333333333}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.173913038941399, 'p': 0.25, 'r': 0.13333333333333333}",id_dm_109503,0.173913038941399,0.25,0.13333333333333333,0.0,0.0,0.0,0.173913038941399,0.25,0.13333333333333333,-,-,-
6414,"{'f': 0.06896551224732497, 'p': 0.07142857142857142, 'r': 0.06666666666666667}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07407406908093313, 'p': 0.07692307692307693, 'r': 0.07142857142857142}",id_dm_42667,0.06896551224732497,0.07142857142857142,0.06666666666666667,0.0,0.0,0.0,0.07407406908093313,0.07692307692307693,0.07142857142857142,-,-,-
6415,"{'f': 0.11764705425605555, 'p': 0.16666666666666666, 'r': 0.09090909090909091}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.12121211676767694, 'p': 0.18181818181818182, 'r': 0.09090909090909091}",id_dm_120838,0.11764705425605555,0.16666666666666666,0.09090909090909091,0.0,0.0,0.0,0.12121211676767694,0.18181818181818182,0.09090909090909091,-,-,-
6416,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_31073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
6417,"{'f': 0.1481481432098767, 'p': 0.16666666666666666, 'r': 0.13333333333333333}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.15999999520000013, 'p': 0.2, 'r': 0.13333333333333333}",id_cnn_50693,0.1481481432098767,0.16666666666666666,0.13333333333333333,0.0,0.0,0.0,0.15999999520000013,0.2,0.13333333333333333,-,-,-
6418,"{'f': 0.0714285665306126, 'p': 0.08333333333333333, 'r': 0.0625}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07999999539200027, 'p': 0.1111111111111111, 'r': 0.0625}",id_cnn_63073,0.0714285665306126,0.08333333333333333,0.0625,0.0,0.0,0.0,0.07999999539200027,0.1111111111111111,0.0625,-,-,-
6419,"{'f': 0.23999999520000007, 'p': 0.3, 'r': 0.2}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.23999999520000007, 'p': 0.3, 'r': 0.2}",id_dm_17266,0.23999999520000007,0.3,0.2,0.0,0.0,0.0,0.23999999520000007,0.3,0.2,-,-,-
6420,"{'f': 0.22222221739369008, 'p': 0.2727272727272727, 'r': 0.1875}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.22222221739369008, 'p': 0.2727272727272727, 'r': 0.1875}",id_dm_22510,0.22222221739369008,0.2727272727272727,0.1875,0.0,0.0,0.0,0.22222221739369008,0.2727272727272727,0.1875,-,-,-
6421,"{'f': 0.20689654720570758, 'p': 0.3, 'r': 0.15789473684210525}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.20689654720570758, 'p': 0.3, 'r': 0.15789473684210525}",id_dm_118666,0.20689654720570758,0.3,0.15789473684210525,0.0,0.0,0.0,0.20689654720570758,0.3,0.15789473684210525,-,-,-
6422,"{'f': 0.07692307204142042, 'p': 0.09090909090909091, 'r': 0.06666666666666667}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07692307204142042, 'p': 0.09090909090909091, 'r': 0.06666666666666667}",id_dm_34253,0.07692307204142042,0.09090909090909091,0.06666666666666667,0.0,0.0,0.0,0.07692307204142042,0.09090909090909091,0.06666666666666667,-,-,-
6423,"{'f': 0.06249999570312531, 'p': 0.1, 'r': 0.045454545454545456}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.06451612491155072, 'p': 0.1111111111111111, 'r': 0.045454545454545456}",id_dm_108250,0.06249999570312531,0.1,0.045454545454545456,0.0,0.0,0.0,0.06451612491155072,0.1111111111111111,0.045454545454545456,-,-,-
6424,"{'f': 0.14814814370370383, 'p': 0.2222222222222222, 'r': 0.1111111111111111}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0740740696296299, 'p': 0.1111111111111111, 'r': 0.05555555555555555}",id_cnn_19490,0.14814814370370383,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0740740696296299,0.1111111111111111,0.05555555555555555,-,-,-
6425,"{'f': 0.12499999548828142, 'p': 0.18181818181818182, 'r': 0.09523809523809523}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.06249999548828158, 'p': 0.09090909090909091, 'r': 0.047619047619047616}",id_dm_173218,0.12499999548828142,0.18181818181818182,0.09523809523809523,0.0,0.0,0.0,0.06249999548828158,0.09090909090909091,0.047619047619047616,-,-,-
6426,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_cnn_48260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
6427,"{'f': 0.0833333295833335, 'p': 0.16666666666666666, 'r': 0.05555555555555555}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.08695651788279792, 'p': 0.16666666666666666, 'r': 0.058823529411764705}",id_cnn_73065,0.0833333295833335,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0,0.08695651788279792,0.16666666666666666,0.058823529411764705,-,-,-
6428,"{'f': 0.30303029825528016, 'p': 0.38461538461538464, 'r': 0.25}","{'f': 0.06451612428720119, 'p': 0.08333333333333333, 'r': 0.05263157894736842}","{'f': 0.239999996352, 'p': 0.5, 'r': 0.15789473684210525}",id_dm_175444,0.30303029825528016,0.38461538461538464,0.25,0.06451612428720119,0.08333333333333333,0.05263157894736842,0.239999996352,0.5,0.15789473684210525,-,-,-
6429,"{'f': 0.0740740694101512, 'p': 0.1, 'r': 0.058823529411764705}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07692307239644997, 'p': 0.1111111111111111, 'r': 0.058823529411764705}",id_cnn_58229,0.0740740694101512,0.1,0.058823529411764705,0.0,0.0,0.0,0.07692307239644997,0.1111111111111111,0.058823529411764705,-,-,-
6430,"{'f': 0.23999999520000007, 'p': 0.3, 'r': 0.2}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.2608695606805294, 'p': 0.375, 'r': 0.2}",id_dm_197395,0.23999999520000007,0.3,0.2,0.0,0.0,0.0,0.2608695606805294,0.375,0.2,-,-,-
6431,"{'f': 0.0740740694101512, 'p': 0.1, 'r': 0.058823529411764705}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0740740694101512, 'p': 0.1, 'r': 0.058823529411764705}",id_dm_35096,0.0740740694101512,0.1,0.058823529411764705,0.0,0.0,0.0,0.0740740694101512,0.1,0.058823529411764705,-,-,-
6432,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_131826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
6433,"{'f': 0.24999999531250006, 'p': 0.3333333333333333, 'r': 0.2}","{'f': 0.09090908628099197, 'p': 0.125, 'r': 0.07142857142857142}","{'f': 0.24999999531250006, 'p': 0.3333333333333333, 'r': 0.2}",id_dm_114248,0.24999999531250006,0.3333333333333333,0.2,0.09090908628099197,0.125,0.07142857142857142,0.24999999531250006,0.3333333333333333,0.2,-,-,-
6434,"{'f': 0.266666661688889, 'p': 0.2857142857142857, 'r': 0.25}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.2142857093877552, 'p': 0.25, 'r': 0.1875}",id_cnn_17624,0.266666661688889,0.2857142857142857,0.25,0.0,0.0,0.0,0.2142857093877552,0.25,0.1875,-,-,-
6435,"{'f': 0.1666666619791668, 'p': 0.2222222222222222, 'r': 0.13333333333333333}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.1666666619791668, 'p': 0.2222222222222222, 'r': 0.13333333333333333}",id_dm_70732,0.1666666619791668,0.2222222222222222,0.13333333333333333,0.0,0.0,0.0,0.1666666619791668,0.2222222222222222,0.13333333333333333,-,-,-
6436,"{'f': 0.06896551253269949, 'p': 0.09090909090909091, 'r': 0.05555555555555555}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.06896551253269949, 'p': 0.09090909090909091, 'r': 0.05555555555555555}",id_dm_213801,0.06896551253269949,0.09090909090909091,0.05555555555555555,0.0,0.0,0.0,0.06896551253269949,0.09090909090909091,0.05555555555555555,-,-,-
6437,"{'f': 0.2666666630888889, 'p': 0.5714285714285714, 'r': 0.17391304347826086}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.2068965480618312, 'p': 0.42857142857142855, 'r': 0.13636363636363635}",id_dm_194934,0.2666666630888889,0.5714285714285714,0.17391304347826086,0.0,0.0,0.0,0.2068965480618312,0.42857142857142855,0.13636363636363635,-,-,-
